Code,StartYear,EndYear,Group,c9598-9094
32124,89,89,1,
43221,83,99,1,
43222,83,99,1,
43223,83,99,1,
43224,83,99,1,
43225,83,99,1,
44411,83,85,1,
44412,83,85,1,
44413,83,85,1,
53311,83,85,1,
53312,83,99,1,
53313,83,85,1,
54044,83,99,1,
55113,83,99,1,
55114,83,89,1,
56221,83,99,1,
72121,83,85,1,
72124,83,85,1,
72125,83,85,1,
72126,83,85,1,
72128,83,85,1,
72129,83,85,1,
72134,83,85,1,
72136,83,85,1,
72138,83,85,1,
72312,83,85,1,
72313,83,85,1,
72411,88,88,1,
72415,83,99,1,
72416,83,99,1,
72417,83,99,1,
72418,83,85,1,
72419,83,85,1,
72422,83,99,1,
73211,88,88,1,
91511,83,99,1,
91512,83,99,1,
91513,83,99,1,
91514,83,99,1,
91515,83,99,1,
91516,83,99,1,
93119,83,99,1,
93121,83,99,1,
93122,83,99,1,
93123,83,99,1,
93124,83,99,1,
93125,83,99,1,
93126,83,99,1,
93411,83,99,1,
93412,83,99,1,
93413,83,99,1,
93414,83,99,1,
93415,83,85,1,
93416,83,99,1,
93417,83,99,1,
95111,83,99,1,
95112,83,99,1,
95113,83,99,1,
95114,83,99,1,
95115,83,99,1,
95121,83,99,1,
95125,83,99,1,
96111,83,99,1,
96112,83,99,1,
96113,83,99,1,
96114,83,99,1,
101111,83,99,1,
101112,83,99,1,
101113,83,99,1,
101114,83,99,1,
101115,83,99,1,
102111,83,99,1,
102112,83,99,1,
102113,83,99,1,
102114,83,99,1,
102211,83,99,1,
102212,83,99,1,
102213,83,99,1,
102214,83,99,1,
102215,83,99,1,
103111,83,99,1,
103112,83,99,1,
103113,83,99,1,
103114,83,99,1,
103115,83,99,1,
103116,83,99,1,
104111,83,99,1,
104112,83,99,1,
104113,83,99,1,
104114,83,99,1,
104115,83,99,1,
105111,83,99,1,
105112,83,99,1,
105113,83,99,1,
105114,83,99,1,
105115,83,99,1,
105215,84,86,1,
121319,89,89,1,
124113,83,99,1,
125111,83,99,1,
125112,83,99,1,
125113,83,99,1,
125114,83,99,1,
125115,83,99,1,
125116,83,99,1,
125117,83,99,1,
125118,83,99,1,
125119,83,99,1,
125121,83,99,1,
125211,83,99,1,
