Code,StartYear,EndYear,Group,c9598-9094
125212,83,99,1,
125311,83,99,1,
125312,83,99,1,
125313,83,99,1,
125314,83,99,1,
125315,83,99,1,
125316,83,99,1,
125317,83,99,1,
125411,83,99,1,
125412,83,99,1,
125413,83,99,1,
125511,83,99,1,
125512,83,85,1,
126111,83,99,1,
126112,83,99,1,
126211,83,99,1,
126212,83,99,1,
127111,83,99,1,
127112,83,85,1,
127113,83,99,1,
127114,83,99,1,
127115,83,99,1,
127116,83,99,1,
127117,83,99,1,
127118,83,99,1,
127119,83,99,1,
127121,83,99,1,
127122,83,99,1,
127123,83,99,1,
127124,83,99,1,
127125,83,99,1,
127126,83,99,1,
127127,83,99,1,
127128,83,99,1,
127129,83,85,1,
127131,83,85,1,
127132,83,99,1,
127134,83,99,1,
127135,83,85,1,
127136,83,99,1,
127137,83,99,1,
139111,83,99,1,
139112,83,99,1,
139113,83,99,1,
139114,83,99,1,
139115,83,99,1,
139116,83,99,1,
139211,83,99,1,
139212,83,99,1,
139213,83,99,1,
139214,83,99,1,
139215,83,99,1,
139216,83,99,1,
139217,83,99,1,
53111,83,99,2,
53112,83,99,2,
53113,83,99,2,
53114,83,85,2,
53116,83,99,2,
53122,83,85,2,
53123,83,85,2,
53124,83,85,2,
53125,83,99,2,
53126,83,85,2,
53127,83,85,2,
53128,83,85,2,
53129,83,99,2,
53131,83,85,2,
53132,83,99,2,
53133,83,88,2,
53136,83,85,2,
53137,83,85,2,
53215,83,85,2,
53216,83,99,2,
53217,83,85,2,
53218,83,85,2,
53219,83,85,2,
71111,83,99,2,
71112,83,99,2,
71113,83,99,2,
71114,83,99,2,
71115,83,99,2,
71116,83,99,2,
71117,83,99,2,
71211,83,99,2,
71212,83,85,2,
71213,83,85,2,
71214,83,85,2,
71311,83,99,2,
71312,83,99,2,
71313,83,89,2,
71411,83,85,2,
71412,83,85,2,
72111,83,99,2,
72112,83,85,2,
72113,83,85,2,
72114,83,85,2,
72115,83,85,2,
72116,83,85,2,
72117,83,85,2,
72118,83,99,2,
72119,83,99,1,
82111,83,99,2,
82112,83,85,2,
82113,83,99,2,
82114,83,85,2,
82115,83,85,2,
91111,83,99,2,
91112,83,99,2,
91113,83,99,2,
91114,83,99,2,
91115,83,99,2,
91116,83,85,2,
91117,83,99,2,
91118,83,85,2,
91122,83,99,2,
91123,83,85,2,
91124,83,85,2,
91128,83,99,2,
91129,83,99,2,
91213,83,85,2,
91214,83,85,2,
91215,83,85,2,
91219,83,85,2,
91221,83,85,2,
91222,83,85,2,
91223,83,85,2,
91311,83,99,2,
91314,83,85,2,
91318,83,85,2,
31231,83,99,3,
31243,83,99,3,
31315,83,99,3,
31413,83,99,3,
43111,83,99,3,
43112,83,99,3,
43113,83,99,3,
43114,83,99,3,
43115,83,85,3,
43116,83,85,3,
43117,83,99,3,
43118,83,99,3,
43119,83,99,3,
43121,83,99,3,
43122,83,99,3,
43123,83,85,3,
43124,83,99,3,
43125,83,99,3,
43126,83,99,3,
43127,83,99,3,
43128,83,85,3,
43129,83,99,3,
43131,83,99,3,
43132,83,99,3,
43133,83,85,3,
43134,83,99,3,
43135,83,99,3,
43211,83,99,3,
43212,83,99,3,
43213,83,99,3,
43214,83,99,3,
43215,83,99,3,
43216,83,99,3,
43217,83,99,3,
43218,83,99,3,
43219,83,99,3,
51111,83,85,3,
51112,83,85,3,
51113,83,85,3,
51114,83,85,3,
51121,83,85,3,
51122,83,85,3,
51123,83,85,3,
51124,83,85,3,
51131,83,85,3,
51132,83,85,3,
51133,83,85,3,
51134,83,85,3,
51135,83,85,3,
51141,83,99,3,
51142,83,99,3,
51143,83,99,3,
51144,83,85,3,
51145,83,85,3,
51146,83,85,3,
51147,83,85,3,
51148,83,85,3,
51149,83,85,3,
51151,83,85,3,
51152,83,85,3,
51153,83,99,3,
51154,83,99,3,
51155,83,85,3,
51156,83,99,3,
51157,83,85,3,
51158,83,99,3,
51159,83,99,3,
51161,83,99,3,
51171,83,99,3,
51172,83,99,3,
51173,83,99,3,
51174,83,99,3,
51175,83,99,3,
51211,83,99,3,
51212,83,99,3,
51213,83,99,3,
51214,83,99,3,
51215,83,99,3,
51311,83,99,3,
51312,83,99,3,
53115,83,99,3,
53117,83,99,3,
53118,83,99,3,
53119,83,99,3,
53121,83,99,3,
53134,83,99,3,
53135,83,99,3,
53138,83,99,3,
53139,83,99,3,
53141,83,99,3,
53211,83,99,3,
53212,83,99,3,
53213,83,99,3,
53214,83,99,3,
53225,83,99,3,
53311,83,99,3,
54022,83,99,3,
54023,83,99,3,
54024,83,85,3,
54025,83,99,3,
54045,83,99,3,
55111,83,99,3,
55112,83,99,3,
71314,83,99,3,
72113,83,99,3,
72117,83,99,3,
72122,83,99,3,
72123,83,99,3,
72127,83,99,3,
72131,83,99,3,
72132,83,99,3,
72133,83,99,3,
72135,83,99,3,
72137,83,99,3,
72139,83,99,3,
72141,83,99,3,
72142,83,99,3,
72311,83,99,3,
72312,83,85,3,
72313,83,85,3,
72319,83,99,3,
72321,83,99,3,
72323,83,99,3,
72413,83,99,3,
72414,83,99,3,
72421,83,99,3,
82112,83,99,3,
82117,83,99,3,
91119,83,99,3,
91121,83,99,3,
91125,83,99,3,
91126,83,99,3,
91127,83,99,3,
91211,83,99,3,
91212,83,99,3,
91224,83,99,3,
91225,83,99,3,
91312,83,99,3,
91313,83,99,3,
91315,83,99,3,
91316,83,99,3,
91317,83,99,3,
91319,83,99,3,
91325,83,99,3,
92111,83,85,3,
92112,83,85,3,
92113,83,85,3,
92114,83,85,3,
92115,83,85,3,
92116,83,85,3,
92117,83,85,3,
92118,83,85,3,
92119,83,85,3,
92121,83,85,3,
92122,83,99,3,
92211,83,99,3,
92212,83,85,3,
92213,83,99,3,
92214,83,99,3,
92311,83,99,3,
92312,83,85,3,
92313,83,99,3,
92314,83,99,3,
93115,83,85,3,
93118,83,99,3,
93127,83,99,3,
93128,83,85,3,
93129,83,99,3,
93212,83,99,3,
93213,83,99,3,
93214,83,99,3,
93215,83,85,3,
93216,83,99,3,
93217,83,85,3,
93218,83,99,3,
93219,83,99,3,
93221,83,85,3,
93222,83,85,3,
93223,83,99,3,
93224,83,99,3,
93225,83,85,3,
93226,83,99,3,
93227,83,85,3,
93228,83,99,3,
93229,83,99,3,
93231,83,85,3,
93232,83,85,3,
93233,83,99,3,
93234,83,85,3,
93235,83,99,3,
93315,83,99,3,
93316,83,99,3,
123111,83,99,3,
123112,83,99,3,
123113,83,99,3,
123121,83,99,3,
123122,83,99,3,
123131,83,99,3,
123132,83,85,3,
123133,83,99,3,
123134,83,99,3,
123224,83,99,3,
123225,83,99,3,
61211,83,99,4,
61214,83,99,4,
62124,95,99,4,*
62125,95,99,4,*
62126,95,99,4,*
62127,95,99,4,*
63141,95,99,4,*
63142,95,99,4,*
63143,95,99,4,*
63144,95,99,4,*
63145,95,99,4,*
63146,95,99,4,*
63147,95,99,4,*
63148,95,99,4,*
63149,95,99,4,*
63151,95,99,4,*
63152,95,99,4,*
62124,90,94,4,*
62125,90,94,4,*
62126,90,94,4,*
62127,90,94,4,*
63141,90,94,4,*
63142,90,94,4,*
63143,90,94,4,*
63144,90,94,4,*
63145,90,94,4,*
63146,90,94,4,*
63147,90,94,4,*
63148,90,94,4,*
63149,90,94,4,*
63150,90,94,4,*
63151,90,94,4,*
63152,90,94,4,*
63117,90,94,4,*
63118,90,94,4,*
63134,90,94,4,*
63135,90,94,4,*
63148,90,94,4,*
63418,90,94,4,*
63428,90,94,4,*
63438,90,94,4,*
63448,90,94,4,*
